N,replica,sweep,phi,surplus,pieces,largest_frac,baby_frac,cube_frac,lx,ly,lam,cap,g,energy
64,0,14550,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,14600,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,14650,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,14700,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,14750,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,14800,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,14850,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,14900,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,14950,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,15000,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,15050,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,15100,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,15150,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,15200,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,15250,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,15300,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,15350,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,15400,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,15450,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,15500,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,15550,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,15600,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,15650,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,15700,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,15750,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,15800,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,15850,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,15900,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,15950,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,16000,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,16050,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,16100,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,16150,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,16200,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,16250,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,16300,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,16350,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,16400,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,16450,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,16500,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,16550,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,16600,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,16650,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,16700,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,16750,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,16800,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,16850,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,16900,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,16950,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,17000,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,17050,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,17100,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,17150,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,17200,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,17250,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,17300,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,17350,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,17400,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,17450,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,17500,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,17550,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,17600,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,17650,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,17700,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,17750,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,17800,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,17850,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,17900,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,17950,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,18000,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,18050,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,18100,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,18150,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,18200,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,18250,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,18300,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,18350,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,18400,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,18450,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,18500,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,18550,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,18600,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,18650,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,18700,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,18750,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,18800,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,18850,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,18900,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,18950,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,19000,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,19050,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,19100,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,19150,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,19200,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,19250,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,19300,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,19350,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,19400,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,19450,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,19500,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,19550,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,19600,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,19650,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,19700,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,19750,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,19800,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,19850,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,19900,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,19950,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,20000,1.25,1.0,1,1.0,0.0,0.0,8,8,0.25,none,2.5,-3.0
64,0,50,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,100,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,150,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,200,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,250,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,300,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,350,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,400,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,450,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,500,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,550,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,600,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,650,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,700,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,750,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,800,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,850,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,900,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,950,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,1000,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,1050,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,1100,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,1150,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,1200,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,1250,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,1300,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,1350,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,1400,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,1450,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,1500,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,1550,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,1600,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,1650,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,1700,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,1750,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,1800,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,1850,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,1900,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,1950,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,2000,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,2050,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,2100,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,2150,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,2200,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,2250,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,2300,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,2350,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,2400,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,2450,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,2500,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,2550,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,2600,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,2650,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,2700,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,2750,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,2800,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,2850,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,2900,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,2950,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,3000,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,3050,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,3100,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,3150,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,3200,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,3250,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,3300,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,3350,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,3400,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,3450,1.0,0.0,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.0
64,0,3500,0.96875,0.03125,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.53125
64,0,3550,0.96875,0.046875,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.546875
64,0,3600,0.921875,0.078125,1,1.0,0.0,0.0,8,8,0.25,none,3.0,1.328125
64,0,3650,0.984375,0.328125,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.578125
64,0,3700,1.015625,0.453125,1,1.0,0.0,0.0,8,8,0.25,none,3.0,0.203125
64,0,3750,1.078125,0.671875,1,1.0,0.0,0.0,8,8,0.25,none,3.0,-0.578125
64,0,3800,1.15625,0.875,1,1.0,0.0,0.0,8,8,0.25,none,3.0,-1.625
64,0,3850,1.234375,1.125,2,0.75,0.25,0.25,8,8,0.25,none,3.0,-2.625
64,0,3900,1.34375,1.4375,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.0625
64,0,3950,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,4000,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,4050,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,4100,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,4150,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,4200,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,4250,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,4300,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,4350,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,4400,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,4450,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,4500,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,4550,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,4600,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,4650,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,4700,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,4750,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,4800,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,4850,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,4900,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,4950,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,5000,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,5050,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,5100,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,5150,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,5200,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,5250,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,5300,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,5350,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,5400,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,5450,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,5500,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,5550,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,5600,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,5650,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,5700,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,5750,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,5800,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,5850,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,5900,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,5950,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,6000,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,6050,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,6100,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,6150,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,6200,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,6250,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,6300,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,6350,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,6400,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,6450,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,6500,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,6550,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,6600,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,6650,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,6700,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,6750,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,6800,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,6850,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,6900,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,6950,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,7000,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,7050,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,7100,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,7150,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,7200,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,7250,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,7300,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,7350,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,7400,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,7450,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,7500,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,7550,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,7600,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,7650,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,7700,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,7750,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,7800,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,7850,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,7900,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,7950,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,8000,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,8050,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,8100,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,8150,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,8200,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,8250,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,8300,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,8350,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,8400,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,8450,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,8500,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,8550,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,8600,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,8650,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,8700,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,8750,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,8800,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,8850,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,8900,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,8950,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,9000,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
64,0,9050,1.375,1.5,3,0.5,0.5,0.5,8,8,0.25,none,3.0,-4.5
